param_name,param_value,converged,m_dot_gs,P_high_kPa,P_low_kPa,T_wall_max_C,Q_evap_W,Q_cond_W,W_pump_W,COP,q_flux_W_m2,q_flux_W_cm2,pump_dP_kPa,HTC_avg,x_out,T_wall_avg_C,dP_evap_kPa,G_ch,subcooling_K,dP_cond_kPa,NTU,fluid
q_flux,106250.0,True,3.4445796134507423,591.9471538357716,591.7210367856787,134.36433147961066,642.8125000000001,574.394094235058,0.0008718176630774978,737324.4741691578,106250.0,10.625,0.2261865518806735,2031.7490905920931,1.0,92.29918871567935,0.1810070267655393,62.62872024455894,12.752775849692739,0.045110023327439776,1.8973620138543683,R1234yf
q_flux,125000.0,True,4.052446604059697,592.0280727911455,591.721095737733,138.1522992050186,756.2500000000001,673.1394462124501,0.0013926037570562745,543047.5080711996,125000.0,12.5,0.3071055072546005,2313.8868404620334,1.0,94.69363638758796,0.24595637897279898,73.68084734653993,12.281410067819138,0.06102067443971289,1.7068676777889622,R1234yf
q_flux,143750.0,True,4.660313594668652,592.1207331119632,591.721185438528,141.5127110943023,869.6875000000001,771.332132944864,0.0020846995189275582,417176.4285950416,143750.0,14.375,0.39976582807232625,2587.6683684494637,1.0,96.81768691572142,0.3204234557622561,84.73297444852092,11.846599546663128,0.07912421767305813,1.558415305090406,R1234yf
q_flux,162500.0,True,5.268180585277605,592.2250232548972,591.7213147991299,144.5418419016214,983.1250000000001,869.0495306047161,0.0029714065333594684,330861.82888898754,162500.0,16.25,0.5040559710062807,2854.3964509388984,1.0,98.73219503471967,0.40433074268096064,95.78510155050189,11.44644006263735,0.09937771308629004,1.4388573425776656,R1234yf
q_flux,181250.0,True,5.8760475758865605,592.3408459352288,591.7214937805197,147.30607017083707,1096.5625000000002,966.3544271168732,0.004075816654703361,269041.17454218713,181250.0,18.125,0.6198786513378145,3115.044887906419,1.0,100.47911656567248,0.49760793216020827,106.8372286524829,11.078002082132855,0.1217442225487945,1.3401128490281902,R1234yf
q_flux,200000.0,True,6.483914566495515,592.4681168537193,591.7217333772297,149.85323169573996,1210.0000000000002,1063.2981245151514,0.005420851262889375,223212.17486329933,200000.0,20.0,0.7471495698282961,3370.3671639733984,1.0,102.08868568244793,0.600192072010948,117.88935575446389,10.73816085125236,0.14619140447846327,1.2569171030725403,R1234yf
q_flux,50000.0,True,1.2471382671560372,123.17793068288766,123.06050500584863,143.8253297890563,302.50000000000006,266.2036843525168,0.00013498245380544853,2241032.011730918,50000.0,5.0,0.11752234713248617,925.4815837102282,1.0,82.07699209826336,0.11085639331730875,22.675241221018855,14.872417109195624,0.006569283721716935,4.756153735289427,R245fa
q_flux,68750.0,True,1.714815117339551,123.26480839019578,123.0607140051347,147.53177309574022,415.93750000000006,365.6169396339724,0.000322805233829102,1288509.1578787838,68750.0,6.875,0.20440005444061535,1225.424184399092,1.0,84.36663124050153,0.19222031160633452,31.178456678900925,14.68827084778826,0.011874073454757795,3.865620652175456,R245fa
q_flux,87500.0,True,2.182491967523065,123.42517311632783,123.06140372167586,153.91879132981933,529.3750000000001,464.65856788459007,0.0007331752734992232,722030.6236917317,87500.0,8.75,0.3647647805726592,1485.7933404248656,1.0,87.59870248285961,0.3451790833593385,39.681672136783,14.452923529210636,0.018590311292636053,3.303956933622704,R245fa
q_flux,106250.0,True,2.650168817706579,123.59946202684769,123.06250667272431,159.31526189299586,642.8125000000001,563.3161157162781,0.0013156725714758264,488580.90830223775,106250.0,10.625,0.5390536910925148,1734.9578751608904,1.0,90.33122646638736,0.5102851074142438,48.18488759466507,14.189957052288833,0.026670246709135256,2.9116476992169327,R245fa
q_flux,125000.0,True,3.117845667890093,123.79300507472468,123.06427598548933,164.02399086743753,756.2500000000001,661.6023707523608,0.002103593654500746,359503.8416197751,125000.0,12.5,0.7325967389694997,1975.2131276668665,1.0,92.7173297213086,0.6926523247221866,56.68810305254714,13.915030428630757,0.03607676451314346,2.619312492428959,R245fa
q_flux,143750.0,True,3.5855225180736063,124.01423862339416,123.06695976410819,168.2298311267449,869.6875000000001,759.54040932137,0.0031496755566724883,276119.70958646666,143750.0,14.375,0.9538302876389935,2208.0696698767756,1.0,94.85074213896246,0.9004992182087145,65.1913185104292,13.637841688654873,0.04677964107726323,2.3914931940912987,R245fa
q_flux,162500.0,True,4.05319936825712,124.26337759824598,123.07081844664225,172.05020894505185,983.1250000000001,857.1564832207525,0.004490500550006669,218934.3902871897,162500.0,16.25,1.2029692624908057,2434.6138002313255,1.0,96.79068357711492,1.1338056831390821,73.69453396831128,13.364223477952805,0.0587534684646403,2.2080135956289495,R245fa
q_flux,181250.0,True,4.520876218440635,124.5402507298541,123.07614057660852,175.56594367894365,1096.5625000000002,954.4767659793963,0.006161413245828068,177972.56185380678,181250.0,18.125,1.479842394098916,2655.653120307144,1.0,98.57788425060926,1.3921337679441526,82.19774942619335,13.097592880022205,0.07197638530140994,2.05647263359987,R245fa
q_flux,200000.0,True,4.988553068624149,124.84469014700755,123.08324174308153,178.83527437090555,1210.0000000000002,1051.52594414976,0.008197478795816204,147606.35924030145,200000.0,20.0,1.784281811252382,2871.8082060659513,1.0,100.24168436778626,1.675019158447028,90.70096488407542,12.83986843555391,0.08642924547899106,1.9287909716539668,R245fa
